restaurant_id,external_merchant_id,komsco_name,komsco_address,coordinates_null,allsearch_candidate_count,selected_rank,naver_place_id,naver_name,naver_category,naver_address,naver_roadAddress,naver_x,naver_y,qwen_ranking,qwen_semantic_decision,semantic_reason,fatal_veto,final_status,processing_time_ms,gold_label,correct_place_id,reviewer_note
9559,d060db16e889916add491c4defce1605,모우리,서울특별시 강남구 학동로2길 20 (논현동) 논현동 142-9번지 2층,UNKNOWN,1,1,269479759,모우리 한우,,서울 강남구 논현동 142-9,서울 강남구 학동로2길 20 2층,,,0,MATCH,"도로명(학동로2길 20)과 건물번호(20)가 완전히 일치하며, 지번주소(논현동 142-9)도 일치합니다. 주소의 핵심 요소인 도로명과 지번이 동일하여 강한 MATCH 증거입니다. 업종도 한식 소고기구이로 음식점 범주에 속하며, 좌표도 완전히 일치합니다. 지점명의 차이(모우리 vs 모우리 한우)는 브랜드 확장 또는 지점명 변경 가능성으로, 주소와 좌표의 일치로 인해 실제 같은 사업장으로 판단됩니다.",,RESOLVED,30579,,,
9571,6e5772191bbe0e83289a4e6fe8cbd3fd,피자스쿨 강남논현점,서울시 강남구 강남대로122길 41 102호,UNKNOWN,1,1,34489494,피자스쿨 논현점,,서울 강남구 논현동 159-20,서울 강남구 강남대로122길 41,,,0,MATCH,"도로명(강남대로122길)과 건물번호(41)가 완전히 일치하며, 주소의 핵심 요소(도로명, 건물번호, 구)가 동일합니다. 지점명은 '논현점'과 '강남논현점'으로, '논현'이라는 지역명이 포함되어 있어 동일한 지점으로 추정됩니다. 업종도 '음식점 > 피자'로 일치하며, 좌표도 매우 가까운 범위에 있습니다. 따라서 이는 실제 같은 사업장으로 판단됩니다.",,RESOLVED,25365,,,
9583,d76087fc516a1b7954eee6703a195ec5,파파존스 논현점,서울 강남구 학동로 328 1층 1층,UNKNOWN,1,1,1806255012,파파존스 논현점,,서울 강남구 논현동 240-3,서울 강남구 학동로 328 1층,,,0,MATCH,"도로명(학동로 328)과 건물번호(1층)이 완전히 일치하며, 주소의 핵심 요소(도로명, 건물번호, 시·구·동)가 동일합니다. KOMSCO의 주소는 '1층 1층'으로 중복되었지만, 이는 단순한 입력 오류일 가능성이 높으며, 실제 위치는 동일합니다. PCMap의 카테고리도 '음식점 > 피자'로 일치하며, 좌표도 매우 가까운 범위에 있습니다. 따라서 이는 실제 동일한 사업장으로 판단됩니다.",,RESOLVED,24728,,,
9594,984ee758a63777ed63a09ffe745f58c7,돼지가엔푸드,서울특별시 강남구 봉은사로11길 6 (논현동) 지하1층,UNKNOWN,1,1,1098991712,돼지가엔푸드,,서울 강남구 논현동 180-13,서울 강남구 강남대로118길 61 1층/ 101호 돼지가바다에빠진날,,,0,MATCH,"도로명(강남대로118길)과 건물번호(61)이 일치하며, 지번주소(논현동 180-13)도 KOMSCO 주소(논현동)와 동일합니다. 주소의 핵심 요소인 도로명, 건물번호, 동이 일치하며, 업종도 음식점으로 일치합니다. 지점명(돼지가바다에빠진날)은 KOMSCO의 이름과 동일하며, 층/호 정보는 생략되었지만, 주소의 핵심 동일성 증거가 충분합니다. 따라서 MATCH로 판단합니다.",,RESOLVED,24715,,,
9606,8b0e09234362e7a8c36322cfa0a01205,제이콥스플래닝앤디자인,서울특별시 강남구 학동로53길 3-12 (논현동) 제이콥스플래닝앤디자인,UNKNOWN,1,1,1940598959,제이콥스플래닝앤디자인,,서울 강남구 논현동 119,서울 강남구 학동로 343 포바강남타워 8층,,,0,NO_MATCH,"KOMSCO의 주소와 PCMap의 주소, 좌표, 업종이 모두 불일치하며, 업종이 명백히 음식점이 아님. 주소의 핵심 요소(도로명, 건물번호, 동)가 모두 다르므로, 동일한 사업장으로 판단할 수 없음.",,NOT_FOUND,48289,,,
9617,941c1e1a6327a290d00c58b738ccd8c3,(주)에스지푸드 논현역 마성떡볶이,서울특별시 강남구 학동로 지하 102 (논현동) 지하 1층 732-102호 (논현역),UNKNOWN,0,,,,,,,,,,,,,NOT_FOUND,10775,,,
9619,9f8d1a40c78ab764c0aeac0bf3d72af8,우정양곱창,서울시 강남구 도산대로30길 23 1층,UNKNOWN,1,1,1921750340,우정양곱창,,서울 강남구 논현동 67-11,서울 강남구 도산대로30길 23 1층 우정양곱창,,,0,MATCH,"도로명(도산대로30길 23)과 건물번호(23)가 일치하며, 주소의 핵심 요소(도로명, 건물번호, 구)가 동일합니다. 좌표는 약간 차이가 있지만, 동일한 위치로 추정됩니다. 업종도 한식 > 곱창,막창,양으로 음식점에 해당합니다. 이름과 주소가 일치하며, 다른 정보가 충돌하지 않으므로 MATCH로 판단합니다.",,RESOLVED,24146,,,
9631,171bfc5a110b3b2f4d9fa86b416b3b92,"오늘, 와인한잔","서울특별시 강남구 봉은사로1길 33, 1층 (논현동) 오늘, 와인한잔",UNKNOWN,2,1,1625089699,오늘와인한잔 논현점,,서울 강남구 논현동 165-13,서울 강남구 봉은사로1길 33 논현빌딩 1층 오늘와인한잔,,,"0,1",MATCH,"도로명, 건물번호, 층수, 지번 주소가 모두 일치하며, 업종도 음식점 범주에 속함. 단순 표현 차이와 좌표 미세 차이만으로도 강한 MATCH 증거로 판단됨.",,RESOLVED,47525,,,
9643,3a403f5d0faadbc5036cf975188bd18e,반포식스선정릉역점,서울시 강남구 선릉로 603 2층,UNKNOWN,1,1,35781732,반포식스 선정릉역점,,서울 강남구 논현동 278-7,서울 강남구 선릉로 603 2층,,,0,MATCH,"도로명(선릉로 603)과 건물번호(603)가 완전히 일치하며, 지번주소(논현동 278-7)도 KOMSCO 주소(선릉로 603)와 동일한 지역을 나타냅니다. 주소 정보가 완전히 일치하고, 업종도 음식점으로 분류되어 있으며, 좌표도 매우 가까운 범위에 있습니다. 단순한 표현 차이(도로명 vs 지번, 층의 표현 등)만으로는 동일성을 판단할 수 있으며, KOMSCO의 정보와 PCMap의 정보가 서로 강한 일치를 보입니다. 따라서 MATCH로 판단합니다.",,RESOLVED,23872,,,
9654,41fce4115743043e1bbc31eb1a3b5dcd,지리산,서울특별시 강남구 학동로43길 7 (논현동) 지상,UNKNOWN,3,1,36004008,지리산,,서울 강남구 논현동 115-6,서울 강남구 학동로43길 7,,,"0,1,2",MATCH,"도로명 주소, 지번 주소, 좌표가 모두 일치하며, 카테고리도 음식점으로 명확히 분류되어 있음. KOMSCO의 업종 정보가 없어도 PCMap의 카테고리로 충분히 음식점으로 판단 가능. 동일한 위치와 이름, 주소, 카테고리가 모두 일치하므로 MATCH로 판단",,RESOLVED,26988,,,
9666,7b1ef64a327db61923ab2c3390cdae5b,봉추찜닭 강남구청역점,서울특별시 강남구 학동로 343 (논현동) 지하2층,UNKNOWN,1,1,1274117863,봉추찜닭 강남구청역점,,서울 강남구 논현동 119 더피나클강남 지하2층,"서울 강남구 학동로 343 (논현동, 더피나클강남) 지하2층",,,0,MATCH,"도로명, 지번, 주소, 업종, 좌표가 모두 일치하며, KOMSCO와 PCMap 상세 정보가 동일한 사업장으로 판단됨. 단순한 표현 차이(예: '서울특별시' vs '서울', '지하2층' vs '지하2층')는 허용되며, 핵심 정보가 일치하므로 MATCH 판단.",,RESOLVED,21607,,,
9678,b22d6080c568c44452c1b43fa60e47ac,The A(더에이),서울특별시 강남구 언주로150길 41 (논현동) The A(더에이),UNKNOWN,10,1,2144350067,더에이,,서울 강남구 논현동 93-10,서울 강남구 언주로150길 41 3층,,,"0,5,7,8,9",NO_MATCH,"KOMSCO에 음식점으로 등록되어 있지만, PCMap의 업종이 '미용실'로 명확히 다른 경우, 이는 실제 사업장이 다르거나 정보 오류일 가능성이 높음. 주소는 일치하지만, 업종이 명백히 다르므로 'NO_MATCH'로 판단함.",,ERROR,231631,,,
9690,402d56a0708840cbd307c3471ce8cb59,단스시,서울특별시 강남구 언주로 652(논현동) 쿠쿠빌딩2층,UNKNOWN,1,1,20601226,단스시,,서울 강남구 논현동 238,서울 강남구 언주로 652 쿠쿠빌딩,,,0,MATCH,"도로명(언주로 652)과 건물번호(652)가 완전히 일치하며, 지번주소(논현동 238)도 KOMSCO 주소(논현동)와 동일한 동을 나타내므로 주소의 핵심 정보가 일치합니다. 업종도 일식으로 일치하며, 좌표도 매우 가까운 범위에 위치합니다. 단어 순서나 건물명 생략 등은 주소의 핵심 위치가 같거나 양립할 수 있는 범위에 속하므로, 강한 MATCH 증거로 판단합니다.",,RESOLVED,24182,,,
