restaurant_id,external_merchant_id,komsco_name,komsco_address,coordinates_null,final_status,verification_status,verification_reason,naver_rank,naver_place_id,naver_name,naver_category,naver_road_address,naver_jibun_address,qwen_ranking,qwen_semantic_decision,qwen_semantic_reason,fatal_veto,elapsed_ms,gold_label,correct_place_id,reviewer_note
9571,6e5772191bbe0e83289a4e6fe8cbd3fd,피자스쿨 강남논현점,서울시 강남구 강남대로122길 41 102호,NO,RESOLVED,VERIFIED,MATCHED,1,34489494,피자스쿨 논현점피자,,서울 강남구 강남대로122길 41,서울 강남구 논현동 159-20,0,MATCH,"KOMSCO의 주소(서울시 강남구 강남대로122길 41 102호)와 PCMap의 주소(서울 강남구 강남대로122길 41)는 도로명과 건물번호가 완전히 일치하며, 시·구·동은 동일합니다. 지점명은 '피자스쿨 강남논현점'과 '피자스쿨 논현점피자'로, '피자스쿨'이라는 핵심 상호명이 일치합니다. PCMap의 카테고리가 '없음'으로 명확히 음식점이 아님에도 불구하고, 주소와 상호명이 일치하여 실제 사업장이 동일할 가능성이 높습니다. 다만, PCMap의 좌표가 없고, 카테고리가 명확하지 않아 완전한 확인은 어려운 점이 있으나, 주소와 상호명의 일치로 강한 MATCH 증거를 인정합니다.",,26570,,,
9594,984ee758a63777ed63a09ffe745f58c7,돼지가엔푸드,서울특별시 강남구 봉은사로11길 6 (논현동) 지하1층,NO,RESOLVED,VERIFIED,MATCHED,1,1098991712,돼지가엔푸드,,서울 강남구 강남대로118길 61 1층/ 101호 돼지가바다에빠진날,서울 강남구 논현동 180-13,0,MATCH,"주소의 핵심 요소인 '서울 강남구'가 일치하며, 도로명과 건물번호가 '118길 61'과 '봉은사로11길 6'으로 서로 다른 도로명이지만, 강남구 내에서 위치가 겹칠 가능성이 높으며, 업종이 '한식'으로 일치하고, 이름도 완전 일치합니다. 다만, 좌표 정보가 누락되어 정확한 위치 확인이 어렵고, 건물번호/층/호 정보가 다릅니다. 그러나 주소의 핵심 요소가 일치하고, 업종이 일치하며, 이름도 일치하므로 강한 MATCH 증거로 판단합니다.",,28654,,,
9619,9f8d1a40c78ab764c0aeac0bf3d72af8,우정양곱창,서울시 강남구 도산대로30길 23 1층,NO,RESOLVED,VERIFIED,MATCHED,1,1921750340,"우정양곱창곱창,막창,양",,서울 강남구 도산대로30길 23 1층 우정양곱창,서울 강남구 논현동 67-11,0,MATCH,"주소 정보에서 도로명(도산대로30길), 건물번호(23), 층(1층)이 완전히 일치하며, 이는 주소의 핵심 위치를 기준으로 한 강한 MATCH 증거입니다. PCMap 상세의 이름은 '우정양곱창곱창,막창,양'으로, KOMSCO의 '우정양곱창'과는 이름이 다릅니다. 그러나 주소가 완전히 일치하고, 업종 정보는 '없음'으로 명확히 음식점이 아님을 나타내므로, 이는 실제 같은 사업장일 가능성이 높습니다. 다만, PCMap의 좌표 정보가 없어 정확한 위치 확인이 어렵지만, 주소 기준으로는 강한 일치를 보입니다. 따라서 MATCH로 판단합니다.",,24562,,,
9631,171bfc5a110b3b2f4d9fa86b416b3b92,"오늘, 와인한잔","서울특별시 강남구 봉은사로1길 33, 1층 (논현동) 오늘, 와인한잔",NO,RESOLVED,VERIFIED,MATCHED,1,1625089699,오늘와인한잔 논현점와인,,서울 강남구 봉은사로1길 33 논현빌딩 1층 오늘와인한잔,서울 강남구 논현동 165-13,"1,0",MATCH,"주소의 도로명(봉은사로1길), 건물번호(33), 층(1층), 동(논현동)이 모두 일치하며, 이름도 '오늘, 와인한잔'과 '오늘와인한잔'이 동일한 브랜드로 보인다. 다만, PCMap의 카테고리가 '없음'으로 표기되어 업종이 명확하지 않으나, 주소와 이름의 일치로 실제 사업장으로 추정된다. 다만, 좌표 정보가 누락되어 정확한 위치 확인이 어려우나, 주소 기준으로 강한 MATCH 증거가 있다.",,28835,,,
9643,3a403f5d0faadbc5036cf975188bd18e,반포식스선정릉역점,서울시 강남구 선릉로 603 2층,NO,RESOLVED,VERIFIED,MATCHED,1,35781732,반포식스 선정릉역점,,서울 강남구 선릉로 603 2층,서울 강남구 논현동 278-7,0,MATCH,"주소의 도로명(선릉로 603)과 건물번호(2층)가 완전히 일치하며, 지점명(선정릉역점)도 일치합니다. 주소의 시·구·동, 도로명, 건물번호가 모두 일치하므로 강한 MATCH 증거입니다. PCMap 상세 카테고리가 없고, 업종이 명확히 비음식이 아닌 것으로 보여서, KOMSCO의 음식점 정보와 PCMap의 정보가 동일한 사업장으로 판단됩니다.",,21979,,,
9666,7b1ef64a327db61923ab2c3390cdae5b,봉추찜닭 강남구청역점,서울특별시 강남구 학동로 343 (논현동) 지하2층,NO,RESOLVED,VERIFIED,MATCHED,1,1274117863,봉추찜닭 강남구청역점,,"서울 강남구 학동로 343 (논현동, 더피나클강남) 지하2층",서울 강남구 논현동 119 더피나클강남 지하2층,0,MATCH,"KOMSCO와 PCMap 상세의 음식점 이름, 주소(도로명, 동)이 완전 일치하며, 카테고리가 '없음'으로 명확한 비음식 업종이 아님. 좌표 정보가 누락되었지만, 주소 기준으로는 동일한 사업장으로 판단 가능.",,21111,,,
9690,402d56a0708840cbd307c3471ce8cb59,단스시,서울특별시 강남구 언주로 652(논현동) 쿠쿠빌딩2층,NO,RESOLVED,VERIFIED,MATCHED,1,20601226,"단스시초밥,롤",,서울 강남구 언주로 652 쿠쿠빌딩,서울 강남구 논현동 238,0,MATCH,"주소 정보에서 '서울 강남구 언주로 652 쿠쿠빌딩'은 KOMSCO의 '서울특별시 강남구 언주로 652(논현동) 쿠쿠빌딩2층'과 도로명(언주로 652)과 건물명(쿠쿠빌딩)이 일치하며, 논현동은 동명으로 생략된 것으로 보이며, 층은 2층으로 생략된 것으로 보인다. 주소의 핵심 요소인 도로명과 건물명이 일치하므로 강한 MATCH 증거로 판단한다. PCMap의 카테고리가 '없음'으로 명확히 음식점이 아님에도 불구하고, 주소와 이름의 일치로 사업장이 동일할 가능성이 높아 MATCH로 판단한다.",,23685,,,
9738,73ecb9ef9521fd867e83beeff538fdf2,오수양푼이동태탕,"서울특별시 강남구 논현로111길 18, 1층 (논현동) 오수양푼이동태탕",NO,RESOLVED,VERIFIED,MATCHED,1,296551154,"오수양푼이동태찌개 논현본점찌개,전골",,서울 강남구 논현로111길 18,서울 강남구 논현동 193-33,0,MATCH,"도로명(논현로111길)과 건물번호(18)가 완전히 일치하며, 주소의 핵심 위치가 동일합니다. 지점명 차이(동태탕 vs 동태찌개)는 브랜드의 변형 또는 메뉴명 차이로 해석 가능하며, 층 정보 생략은 주소의 핵심 동일성에 영향을 주지 않습니다. PCMap의 '카테고리: 없음'은 단순 정보 누락 가능성으로 판단됩니다. 따라서 주소 기준으로 강한 MATCH 증거가 있습니다.",,34657,,,
9763,2ed6c72256d7ed707b7a9176ce3739f9,noodle talk,"서울특별시 강남구 봉은사로 지하 102 지하2층, 4-2호 누들톡 (논현동, 9호선 신논현역)",YES,RESOLVED,VERIFIED,MATCHED,1,1627399744,누들톡종합분식,,서울 강남구 봉은사로 102 지하,서울 강남구 역삼동 800,0,MATCH,"도로명과 건물번호가 동일하며, 주소의 핵심 정보가 일치하고, 이름도 부분적으로 일치하여 실제 같은 사업장으로 판단됨",,50754,,,
9775,49ba7d653ad34a7806f948c086ffa139,일언족발,서울특별시 강남구 봉은사로37길 11(논현동) 1층,NO,RESOLVED,VERIFIED,MATCHED,1,38276825,"일언족발족발,보쌈",,서울 강남구 봉은사로37길 11 우정빌딩 1층,서울 강남구 논현동 232-17,0,MATCH,"주소 정보에서 도로명(봉은사로37길), 건물번호(11), 동(논현동), 층(1층)이 모두 일치하며, 업종은 명확히 음식점으로 분류되어 있음. PCMap의 주소는 KOMSCO의 주소와 동일하며, 지점명은 '일언족발족발,보쌈'으로 브랜드명이 포함되어 있음. 주소와 업종이 일치하므로 강한 MATCH 증거로 판단됨.",,22316,,,
