restaurant_id,external_merchant_id,komsco_name,qwen_model,candidate_count,qwen_ranking,selected_kakao_rank,selected_naver_rank,predicted_entity_match,predicted_business_type,predicted_location_scope,predicted_final_decision,reason,semantic_attempts_json,ranking_calls,semantic_calls,error_type,elapsed_ms,gold_kakao_rank,gold_naver_rank,gold_final_decision,gold_reject_reason,reviewer_comment,reviewer_detail,gold_note
9559,d060db16e889916add491c4defce1605,모우리,qwen3:8b,8,"[{""provider"": ""KAKAO"", ""rank"": 1, ""index"": 0}, {""provider"": ""NAVER"", ""rank"": 1, ""index"": 5}, {""provider"": ""NAVER"", ""rank"": 2, ""index"": 6}, {""provider"": ""KAKAO"", ""rank"": 2, ""index"": 1}, {""provider"": ""KAKAO"", ""rank"": 3, ""index"": 2}]",1,,MATCH,FOOD,IN_SCOPE,ACCEPT,"KOMSCO의 '모우리'와 PCMap의 '모우리한우'는 동일한 상호명에서 유래된 것으로 보이며, 주소는 도로명(학동로2길 20)과 논현동이 일치합니다. 좌표도 매우 가까운 위치를 나타내고, 카테고리도 음식점으로 분류되어 있습니다. 따라서 같은 사업체로 판단되며, 논현동 범위 내에 있으므로 수용합니다.","[{""rank"": 1, ""provider"": ""KAKAO"", ""provider_rank"": 1, ""entity_match"": ""MATCH"", ""business_type"": ""FOOD"", ""location_scope"": ""IN_SCOPE"", ""final_decision"": ""ACCEPT"", ""reason"": ""KOMSCO의 '모우리'와 PCMap의 '모우리한우'는 동일한 상호명에서 유래된 것으로 보이며, 주소는 도로명(학동로2길 20)과 논현동이 일치합니다. 좌표도 매우 가까운 위치를 나타내고, 카테고리도 음식점으로 분류되어 있습니다. 따라서 같은 사업체로 판단되며, 논현동 범위 내에 있으므로 수용합니다.""}]",1,1,,22284,1,1,ACCEPT,,,,Reviewed draft accepted.
9571,6e5772191bbe0e83289a4e6fe8cbd3fd,피자스쿨 강남논현점,qwen3:8b,3,"[{""provider"": ""KAKAO"", ""rank"": 1, ""index"": 0}, {""provider"": ""NAVER"", ""rank"": 1, ""index"": 1}, {""provider"": ""NAVER"", ""rank"": 2, ""index"": 2}]",1,,MATCH,FOOD,IN_SCOPE,ACCEPT,"KOMSCO와 PCMap 상세 모두 '피자스쿨'이라는 브랜드명을 공유하며, 주소는 도로명(강남대로122길 41)이 동일하고, 논현동 범위 내에 위치함. 주소의 핵심 정보(도로명, 건물번호)가 일치하여 같은 지점으로 판단됨. 카테고리도 '음식점 > 양식 > 피자 > 피자스쿨'로 음식점으로 분류됨. 좌표도 매우 가까운 범위에 있어 동일한 사업체로 간주됨.","[{""rank"": 1, ""provider"": ""KAKAO"", ""provider_rank"": 1, ""entity_match"": ""MATCH"", ""business_type"": ""FOOD"", ""location_scope"": ""IN_SCOPE"", ""final_decision"": ""ACCEPT"", ""reason"": ""KOMSCO와 PCMap 상세 모두 '피자스쿨'이라는 브랜드명을 공유하며, 주소는 도로명(강남대로122길 41)이 동일하고, 논현동 범위 내에 위치함. 주소의 핵심 정보(도로명, 건물번호)가 일치하여 같은 지점으로 판단됨. 카테고리도 '음식점 > 양식 > 피자 > 피자스쿨'로 음식점으로 분류됨. 좌표도 매우 가까운 범위에 있어 동일한 사업체로 간주됨.""}]",1,1,,20694,1,1,ACCEPT,,,,Reviewed draft accepted.
9583,d76087fc516a1b7954eee6703a195ec5,파파존스 논현점,qwen3:8b,3,"[{""provider"": ""KAKAO"", ""rank"": 1, ""index"": 0}, {""provider"": ""NAVER"", ""rank"": 1, ""index"": 2}, {""provider"": ""KAKAO"", ""rank"": 2, ""index"": 1}]",1,,MATCH,FOOD,IN_SCOPE,ACCEPT,"도로명주소(서울 강남구 학동로 328)과 KOMSCO 도로명주소(서울 강남구 학동로 328)가 완전 일치하며, 지번주소는 UNKNOWN이지만 동일한 도로명과 건물번호로, 논현동 범위 내에 위치함을 확인. 카테고리도 '음식점 > 양식 > 피자 > 파파존스'로 음식점으로 분류됨. 주소와 카테고리가 일치하여 실제 같은 지점으로 판단됨.","[{""rank"": 1, ""provider"": ""KAKAO"", ""provider_rank"": 1, ""entity_match"": ""MATCH"", ""business_type"": ""FOOD"", ""location_scope"": ""IN_SCOPE"", ""final_decision"": ""ACCEPT"", ""reason"": ""도로명주소(서울 강남구 학동로 328)과 KOMSCO 도로명주소(서울 강남구 학동로 328)가 완전 일치하며, 지번주소는 UNKNOWN이지만 동일한 도로명과 건물번호로, 논현동 범위 내에 위치함을 확인. 카테고리도 '음식점 > 양식 > 피자 > 파파존스'로 음식점으로 분류됨. 주소와 카테고리가 일치하여 실제 같은 지점으로 판단됨.""}]",1,1,,19071,1,1,ACCEPT,,,,Reviewed draft accepted.
9594,984ee758a63777ed63a09ffe745f58c7,돼지가엔푸드,qwen3:8b,1,"[{""provider"": ""NAVER"", ""rank"": 1, ""index"": 0}]",,1,MATCH,FOOD,IN_SCOPE,ACCEPT,"KOMSCO와 PCMap 상세 모두 '돼지가엔푸드'로 동일한 이름을 가지고 있으며, 주소는 모두 서울특별시 강남구 논현동에 위치하고 있음. 도로명 주소는 '강남대로118길 61'과 '봉은사로11길 6'이 다르지만, 동일한 논현동 내에 위치하고 있으며, 건물번호와 호수는 일치하지 않으나, 지점 위치가 동일한 것으로 추정됨. 카테고리는 모두 음식점으로 분류되어 있으며, 좌표는 약간 차이가 있으나 논현동 내부에 위치함. 따라서 같은 사업체로 판단됨.","[{""rank"": 1, ""provider"": ""NAVER"", ""provider_rank"": 1, ""entity_match"": ""MATCH"", ""business_type"": ""FOOD"", ""location_scope"": ""IN_SCOPE"", ""final_decision"": ""ACCEPT"", ""reason"": ""KOMSCO와 PCMap 상세 모두 '돼지가엔푸드'로 동일한 이름을 가지고 있으며, 주소는 모두 서울특별시 강남구 논현동에 위치하고 있음. 도로명 주소는 '강남대로118길 61'과 '봉은사로11길 6'이 다르지만, 동일한 논현동 내에 위치하고 있으며, 건물번호와 호수는 일치하지 않으나, 지점 위치가 동일한 것으로 추정됨. 카테고리는 모두 음식점으로 분류되어 있으며, 좌표는 약간 차이가 있으나 논현동 내부에 위치함. 따라서 같은 사업체로 판단됨.""}]",1,1,,18331,,1,ACCEPT,,같은 매장이라고 봐도 무방,,Reviewer confirmed same store despite address difference.
9606,8b0e09234362e7a8c36322cfa0a01205,제이콥스플래닝앤디자인,qwen3:8b,3,"[{""provider"": ""KAKAO"", ""rank"": 1, ""index"": 0}, {""provider"": ""NAVER"", ""rank"": 1, ""index"": 2}, {""provider"": ""KAKAO"", ""rank"": 2, ""index"": 1}]",,,NO_MATCH,,,REJECT,"PCMap 카테고리가 공연기획으로 음식점이 아님; KOMSCO 음식점은 '제이콥스플래닝앤디자인'으로 등록되어 있으나, PCMap 상세 정보의 카테고리는 '지원,대행>전시,행사대행'으로 명백한 비음식 업종입니다. 이는 business_type을 NON_FOOD로 판단하며, 음식점으로서의 적격성이 없습니다. 주소는 논현동 범위 내에 있으나, 업종이 다르므로 final_decision은 REJECT입니다.; KOMSCO 음식점은 서울 강남구 논현동에 위치한 '제이콥스플래닝앤디자인'으로, 주소와 좌표가 명확히 기록되어 있습니다. 반면, PCMap 상세 음식점은 서울 강동구 암사동에 위치하며, '문화,예술 > 공연,연극 > 공연기획'이라는 카테고리로 분류되어 있습니다. 이는 명백한 비음식 업종에 해당하므로 business_type이 NON_FOOD로 판단됩니다. 또한, 강남구 논현동과 강동구 암사동은 서로 다른 구이므로 location_scope는 OUT_OF_SCOPE입니다. 주소와 카테고리가 모두 다르므로 entity_match는 NO_MATCH로 판단됩니다. 따라서 final_decision은 REJECT입니다.","[{""rank"": 1, ""provider"": ""KAKAO"", ""provider_rank"": 1, ""entity_match"": ""MATCH"", ""business_type"": ""NON_FOOD"", ""location_scope"": ""IN_SCOPE"", ""final_decision"": ""REJECT"", ""reason"": ""PCMap 카테고리가 공연기획으로 음식점이 아님""}, {""rank"": 2, ""provider"": ""NAVER"", ""provider_rank"": 1, ""entity_match"": ""UNCERTAIN"", ""business_type"": ""NON_FOOD"", ""location_scope"": ""IN_SCOPE"", ""final_decision"": ""REJECT"", ""reason"": ""KOMSCO 음식점은 '제이콥스플래닝앤디자인'으로 등록되어 있으나, PCMap 상세 정보의 카테고리는 '지원,대행>전시,행사대행'으로 명백한 비음식 업종입니다. 이는 business_type을 NON_FOOD로 판단하며, 음식점으로서의 적격성이 없습니다. 주소는 논현동 범위 내에 있으나, 업종이 다르므로 final_decision은 REJECT입니다.""}, {""rank"": 3, ""provider"": ""KAKAO"", ""provider_rank"": 2, ""entity_match"": ""NO_MATCH"", ""business_type"": ""NON_FOOD"", ""location_scope"": ""OUT_OF_SCOPE"", ""final_decision"": ""REJECT"", ""reason"": ""KOMSCO 음식점은 서울 강남구 논현동에 위치한 '제이콥스플래닝앤디자인'으로, 주소와 좌표가 명확히 기록되어 있습니다. 반면, PCMap 상세 음식점은 서울 강동구 암사동에 위치하며, '문화,예술 > 공연,연극 > 공연기획'이라는 카테고리로 분류되어 있습니다. 이는 명백한 비음식 업종에 해당하므로 business_type이 NON_FOOD로 판단됩니다. 또한, 강남구 논현동과 강동구 암사동은 서로 다른 구이므로 location_scope는 OUT_OF_SCOPE입니다. 주소와 카테고리가 모두 다르므로 entity_match는 NO_MATCH로 판단됩니다. 따라서 final_decision은 REJECT입니다.""}]",1,3,,63045,1,1,REJECT,NON_FOOD,,,"Reviewed draft: same/related entity may exist, but not a restaurant."
9617,941c1e1a6327a290d00c58b738ccd8c3,(주)에스지푸드 논현역 마성떡볶이,qwen3:8b,0,,,,,,,,no candidates supplied,[],0,0,evaluation_error,0,,,REJECT,NOT_EXIST,komsco 정보 자체를 사용하지 않는걸로 결정,가게 없음,Reviewer: 가게 없음; do not use KOMSCO record.
9619,9f8d1a40c78ab764c0aeac0bf3d72af8,우정양곱창,qwen3:8b,3,"[{""provider"": ""KAKAO"", ""rank"": 1, ""index"": 0}, {""provider"": ""NAVER"", ""rank"": 1, ""index"": 1}, {""provider"": ""NAVER"", ""rank"": 2, ""index"": 2}]",1,,MATCH,FOOD,IN_SCOPE,ACCEPT,"도로명 주소(도산대로30길 23)와 KOMSCO 주소(도산대로30길 23 1층)가 일치하며, 논현동 범위 내에 위치함. 카테고리도 음식점 관련. 이름도 동일하여 같은 사업체로 판단됨.","[{""rank"": 1, ""provider"": ""KAKAO"", ""provider_rank"": 1, ""entity_match"": ""MATCH"", ""business_type"": ""FOOD"", ""location_scope"": ""IN_SCOPE"", ""final_decision"": ""ACCEPT"", ""reason"": ""도로명 주소(도산대로30길 23)와 KOMSCO 주소(도산대로30길 23 1층)가 일치하며, 논현동 범위 내에 위치함. 카테고리도 음식점 관련. 이름도 동일하여 같은 사업체로 판단됨.""}]",1,1,,17801,1,1,ACCEPT,,,,Reviewed draft accepted.
9631,171bfc5a110b3b2f4d9fa86b416b3b92,"오늘, 와인한잔",qwen3:8b,6,"[{""provider"": ""KAKAO"", ""rank"": 1, ""index"": 0}, {""provider"": ""KAKAO"", ""rank"": 2, ""index"": 1}, {""provider"": ""NAVER"", ""rank"": 1, ""index"": 5}, {""provider"": ""KAKAO"", ""rank"": 4, ""index"": 3}, {""provider"": ""KAKAO"", ""rank"": 5, ""index"": 4}]",1,,MATCH,FOOD,IN_SCOPE,ACCEPT,"KOMSCO의 '오늘, 와인한잔'은 PCMap의 '오늘와인한잔 논현점'과 동일한 도로명주소(봉은사로1길 33)를 공유하며, 논현동 범위 내에 위치합니다. 주소 정보가 일치하고, 카테고리도 '음식점 > 술집 > 와인바'로 음식점에 해당하므로 business_type은 FOOD로 판단됩니다. 동일한 지점으로 추정되며, 모든 주요 정보가 일치하므로 entity_match는 MATCH로 판단됩니다. 따라서 final_decision은 ACCEPT입니다.","[{""rank"": 1, ""provider"": ""KAKAO"", ""provider_rank"": 1, ""entity_match"": ""MATCH"", ""business_type"": ""FOOD"", ""location_scope"": ""IN_SCOPE"", ""final_decision"": ""ACCEPT"", ""reason"": ""KOMSCO의 '오늘, 와인한잔'은 PCMap의 '오늘와인한잔 논현점'과 동일한 도로명주소(봉은사로1길 33)를 공유하며, 논현동 범위 내에 위치합니다. 주소 정보가 일치하고, 카테고리도 '음식점 > 술집 > 와인바'로 음식점에 해당하므로 business_type은 FOOD로 판단됩니다. 동일한 지점으로 추정되며, 모든 주요 정보가 일치하므로 entity_match는 MATCH로 판단됩니다. 따라서 final_decision은 ACCEPT입니다.""}]",1,1,,14639,1,,ACCEPT,,,,Reviewed draft accepted.
9643,3a403f5d0faadbc5036cf975188bd18e,반포식스선정릉역점,qwen3:8b,2,"[{""provider"": ""NAVER"", ""rank"": 1, ""index"": 1}, {""provider"": ""KAKAO"", ""rank"": 1, ""index"": 0}]",,1,MATCH,FOOD,IN_SCOPE,ACCEPT,"도로명주소(선릉로 603 2층)가 완전히 일치하며, KOMSCO와 PCMap의 주소는 동일한 위치를 나타내므로 같은 지점으로 판단됨. 카테고리도 음식점으로 일치하며, 논현동 범위 내에 위치하므로 location_scope는 IN_SCOPE. 음식점으로 분류되므로 business_type은 FOOD. 모든 정보가 일치하므로 entity_match는 MATCH, 최종적으로 ACCEPT.","[{""rank"": 1, ""provider"": ""NAVER"", ""provider_rank"": 1, ""entity_match"": ""MATCH"", ""business_type"": ""FOOD"", ""location_scope"": ""IN_SCOPE"", ""final_decision"": ""ACCEPT"", ""reason"": ""도로명주소(선릉로 603 2층)가 완전히 일치하며, KOMSCO와 PCMap의 주소는 동일한 위치를 나타내므로 같은 지점으로 판단됨. 카테고리도 음식점으로 일치하며, 논현동 범위 내에 위치하므로 location_scope는 IN_SCOPE. 음식점으로 분류되므로 business_type은 FOOD. 모든 정보가 일치하므로 entity_match는 MATCH, 최종적으로 ACCEPT.""}]",1,1,,22201,1,1,ACCEPT,,,,Reviewed draft accepted.
9654,41fce4115743043e1bbc31eb1a3b5dcd,지리산,qwen3:8b,9,"[{""provider"": ""KAKAO"", ""rank"": 1, ""index"": 0}, {""provider"": ""KAKAO"", ""rank"": 5, ""index"": 4}, {""provider"": ""KAKAO"", ""rank"": 3, ""index"": 2}, {""provider"": ""KAKAO"", ""rank"": 4, ""index"": 3}, {""provider"": ""NAVER"", ""rank"": 1, ""index"": 5}]",1,,MATCH,FOOD,IN_SCOPE,ACCEPT,"KOMSCO과 PCMap 상세 모두 '지리산'이라는 이름을 공유하며, 주소도 '서울 강남구 학동로43길 7'과 '서울 강남구 논현동 115-6'로 동일한 지역(논현동)에 위치하고 있음. 도로명 주소가 완전히 일치하며, 카테고리도 '음식점' 및 '한식'으로 음식점으로 분류됨. 좌표도 매우 가까운 값으로 일치함. 따라서 같은 사업체로 판단됨.","[{""rank"": 1, ""provider"": ""KAKAO"", ""provider_rank"": 1, ""entity_match"": ""MATCH"", ""business_type"": ""FOOD"", ""location_scope"": ""IN_SCOPE"", ""final_decision"": ""ACCEPT"", ""reason"": ""KOMSCO과 PCMap 상세 모두 '지리산'이라는 이름을 공유하며, 주소도 '서울 강남구 학동로43길 7'과 '서울 강남구 논현동 115-6'로 동일한 지역(논현동)에 위치하고 있음. 도로명 주소가 완전히 일치하며, 카테고리도 '음식점' 및 '한식'으로 음식점으로 분류됨. 좌표도 매우 가까운 값으로 일치함. 따라서 같은 사업체로 판단됨.""}]",1,1,,24128,1,,ACCEPT,,,,Reviewed draft accepted.
9666,7b1ef64a327db61923ab2c3390cdae5b,봉추찜닭 강남구청역점,qwen3:8b,2,"[{""provider"": ""KAKAO"", ""rank"": 1, ""index"": 0}, {""provider"": ""NAVER"", ""rank"": 1, ""index"": 1}]",1,,MATCH,FOOD,IN_SCOPE,ACCEPT,"KOMSCO와 PCMap 상세 모두 '봉추찜닭 강남구청역점'이라는 동일한 지점명을 사용하고 있으며, 주소도 '서울 강남구 학동로 343'과 '서울특별시 강남구 학동로 343 (논현동)'로 도로명과 건물번호가 일치합니다. 논현동이라는 동이 포함되어 있어 위치 범위도 일치합니다. 카테고리도 '음식점' 관련으로 명확하고, 좌표도 매우 유사합니다. 따라서 같은 사업체/지점으로 판단됩니다.","[{""rank"": 1, ""provider"": ""KAKAO"", ""provider_rank"": 1, ""entity_match"": ""MATCH"", ""business_type"": ""FOOD"", ""location_scope"": ""IN_SCOPE"", ""final_decision"": ""ACCEPT"", ""reason"": ""KOMSCO와 PCMap 상세 모두 '봉추찜닭 강남구청역점'이라는 동일한 지점명을 사용하고 있으며, 주소도 '서울 강남구 학동로 343'과 '서울특별시 강남구 학동로 343 (논현동)'로 도로명과 건물번호가 일치합니다. 논현동이라는 동이 포함되어 있어 위치 범위도 일치합니다. 카테고리도 '음식점' 관련으로 명확하고, 좌표도 매우 유사합니다. 따라서 같은 사업체/지점으로 판단됩니다.""}]",1,1,,21087,1,1,ACCEPT,,,,Reviewed draft accepted.
9678,b22d6080c568c44452c1b43fa60e47ac,The A(더에이),qwen3:8b,8,"[{""provider"": ""NAVER"", ""rank"": 3, ""index"": 7}, {""provider"": ""KAKAO"", ""rank"": 1, ""index"": 0}, {""provider"": ""NAVER"", ""rank"": 2, ""index"": 6}, {""provider"": ""KAKAO"", ""rank"": 2, ""index"": 1}, {""provider"": ""KAKAO"", ""rank"": 4, ""index"": 3}]",,,NO_MATCH,,,REJECT,"주소가 서울 강남구 논현동과 경기 남양주시 수동면으로 명백히 다른 지역; KOMSCO의 'The A(더에이)'는 음식점으로 등록되어 있으나, PCMap의 '더에이'는 '미용실'이라는 명확한 비음식 업종으로 분류되어 있음. 주소는 동일한 '논현동'이며, 도로명 주소도 일치하나, 업종이 명백히 다르므로 business_type=NON_FOOD로 판단. 같은 사업체일 가능성은 있으나, 업종이 음식점이 아니므로 final_decision=REJECT.; KOMSCO 음식점 'The A(더에이)'은 서울특별시 강남구 언주로150길 41 (논현동)에 위치하며, 음식점으로 분류되어 있습니다. 반면, PCMap 상세 음식점 '비이케이 프렙에이 학원'은 '어학교육' 카테고리에 속하며, 음식점이 아닙니다. 주소도 서로 다르며, '역삼동'과 '논현동'은 강남구 내 다른 지역입니다. 따라서 같은 사업체가 아니며, 음식점으로 분류될 수 없습니다. 또한, 카테고리가 명백히 비음식 업종이므로 business_type이 NON_FOOD로 판단됩니다. 주소와 카테고리가 모두 다르므로 entity_match는 NO_MATCH이며, final_decision은 REJECT입니다.; KOMSCO의 'The A(더에이)'는 음식점으로 등록되어 있으나, PCMap의 '더에이랩 스포츠과학연구소'는 '스포츠,레저 > 스포츠시설'이라는 명확한 비음식 업종으로 분류되어 business_type=NON_FOOD로 판단됨. 또한, 주소 비교 시 KOMSCO의 주소는 '논현동'에 위치한 '언주로150길 41'이지만, PCMap의 주소는 '대치동'에 위치한 '삼성로85길 28'로, 동이 다르고, 도로명 및 건물번호도 상이하여 location_scope=OUT_OF_SCOPE. 따라서, 같은 사업체가 아니며, 업종도 다르므로 final_decision=REJECT.; PCMap의 카테고리 필라테스로 음식점이 아님, 주소도 논현동이 아님","[{""rank"": 1, ""provider"": ""NAVER"", ""provider_rank"": 3, ""entity_match"": ""NO_MATCH"", ""business_type"": ""FOOD"", ""location_scope"": ""OUT_OF_SCOPE"", ""final_decision"": ""REJECT"", ""reason"": ""주소가 서울 강남구 논현동과 경기 남양주시 수동면으로 명백히 다른 지역""}, {""rank"": 2, ""provider"": ""KAKAO"", ""provider_rank"": 1, ""entity_match"": ""MATCH"", ""business_type"": ""NON_FOOD"", ""location_scope"": ""IN_SCOPE"", ""final_decision"": ""REJECT"", ""reason"": ""KOMSCO의 'The A(더에이)'는 음식점으로 등록되어 있으나, PCMap의 '더에이'는 '미용실'이라는 명확한 비음식 업종으로 분류되어 있음. 주소는 동일한 '논현동'이며, 도로명 주소도 일치하나, 업종이 명백히 다르므로 business_type=NON_FOOD로 판단. 같은 사업체일 가능성은 있으나, 업종이 음식점이 아니므로 final_decision=REJECT.""}, {""rank"": 3, ""provider"": ""NAVER"", ""provider_rank"": 2, ""entity_match"": ""NO_MATCH"", ""business_type"": ""NON_FOOD"", ""location_scope"": ""OUT_OF_SCOPE"", ""final_decision"": ""REJECT"", ""reason"": ""KOMSCO 음식점 'The A(더에이)'은 서울특별시 강남구 언주로150길 41 (논현동)에 위치하며, 음식점으로 분류되어 있습니다. 반면, PCMap 상세 음식점 '비이케이 프렙에이 학원'은 '어학교육' 카테고리에 속하며, 음식점이 아닙니다. 주소도 서로 다르며, '역삼동'과 '논현동'은 강남구 내 다른 지역입니다. 따라서 같은 사업체가 아니며, 음식점으로 분류될 수 없습니다. 또한, 카테고리가 명백히 비음식 업종이므로 business_type이 NON_FOOD로 판단됩니다. 주소와 카테고리가 모두 다르므로 entity_match는 NO_MATCH이며, final_decision은 REJECT입니다.""}, {""rank"": 4, ""provider"": ""KAKAO"", ""provider_rank"": 2, ""entity_match"": ""NO_MATCH"", ""business_type"": ""NON_FOOD"", ""location_scope"": ""OUT_OF_SCOPE"", ""final_decision"": ""REJECT"", ""reason"": ""KOMSCO의 'The A(더에이)'는 음식점으로 등록되어 있으나, PCMap의 '더에이랩 스포츠과학연구소'는 '스포츠,레저 > 스포츠시설'이라는 명확한 비음식 업종으로 분류되어 business_type=NON_FOOD로 판단됨. 또한, 주소 비교 시 KOMSCO의 주소는 '논현동'에 위치한 '언주로150길 41'이지만, PCMap의 주소는 '대치동'에 위치한 '삼성로85길 28'로, 동이 다르고, 도로명 및 건물번호도 상이하여 location_scope=OUT_OF_SCOPE. 따라서, 같은 사업체가 아니며, 업종도 다르므로 final_decision=REJECT.""}, {""rank"": 5, ""provider"": ""KAKAO"", ""provider_rank"": 4, ""entity_match"": ""NO_MATCH"", ""business_type"": ""NON_FOOD"", ""location_scope"": ""OUT_OF_SCOPE"", ""final_decision"": ""REJECT"", ""reason"": ""PCMap의 카테고리 필라테스로 음식점이 아님, 주소도 논현동이 아님""}]",1,5,,95171,1,,REJECT,NON_FOOD,,,"Reviewed draft: same/related entity may exist, but not a restaurant."
9690,402d56a0708840cbd307c3471ce8cb59,단스시,qwen3:8b,5,"[{""provider"": ""NAVER"", ""rank"": 1, ""index"": 4}, {""provider"": ""KAKAO"", ""rank"": 1, ""index"": 0}, {""provider"": ""KAKAO"", ""rank"": 3, ""index"": 2}, {""provider"": ""KAKAO"", ""rank"": 2, ""index"": 1}, {""provider"": ""KAKAO"", ""rank"": 4, ""index"": 3}]",,1,MATCH,FOOD,IN_SCOPE,ACCEPT,"KOMSCO과 PCMap 상세의 음식점 이름 '단스시'가 일치하며, 주소는 모두 서울특별시 강남구 논현동에 위치하고 있으며, 도로명 주소 '언주로 652 쿠쿠빌딩'이 동일합니다. KOMSCO의 주소는 '언주로 652(논현동) 쿠쿠빌딩2층'으로, PCMap의 '언주로 652 쿠쿠빌딩'과 동일한 도로명과 건물번호를 가집니다. 카테고리도 '음식점>일식>초밥,롤'로 일치하며, 이는 FOOD로 분류됩니다. 따라서 같은 사업체로 판단되며, 논현동 범위 내에 있으므로 ACCEPT합니다.","[{""rank"": 1, ""provider"": ""NAVER"", ""provider_rank"": 1, ""entity_match"": ""MATCH"", ""business_type"": ""FOOD"", ""location_scope"": ""IN_SCOPE"", ""final_decision"": ""ACCEPT"", ""reason"": ""KOMSCO과 PCMap 상세의 음식점 이름 '단스시'가 일치하며, 주소는 모두 서울특별시 강남구 논현동에 위치하고 있으며, 도로명 주소 '언주로 652 쿠쿠빌딩'이 동일합니다. KOMSCO의 주소는 '언주로 652(논현동) 쿠쿠빌딩2층'으로, PCMap의 '언주로 652 쿠쿠빌딩'과 동일한 도로명과 건물번호를 가집니다. 카테고리도 '음식점>일식>초밥,롤'로 일치하며, 이는 FOOD로 분류됩니다. 따라서 같은 사업체로 판단되며, 논현동 범위 내에 있으므로 ACCEPT합니다.""}]",1,1,,22418,1,1,ACCEPT,,,,Reviewed draft accepted.
